COLLECTION,COLLECTOR,CONDDATE,CONDEXAM,CONDITION,COPYNO,COPYRIGHT,CREATOR,DATE,DESCRIP,EARLYDATE,EDITION,FILMSIZE,HOMELOC,IMAGEFILE,MAINTDATE,MEDIUM,NOTES,OBJECTID,OBJNAME,PRINTSIZE,PROCESS,PROVENANCE,RECDATE,RECFROM,STATUSDATE,STERMS,TITLE,UDF2,UDF4,UDF5,Date of Photo,UDF9,UPDATED,USED,MAPS URL,Notes,,MAPS URL,Notes,,,Notes,CAT Record URL
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/3/1948,"John P. Wymer's description: Washington Gospel Tabernacle, Georgia Avenue NW between Missouri Avenue and Madison Street. December 5, 1948.","1,948",,,212,040\WY 024016.JPG,07/08/2006,Photographic Emulsion,,WY 0240.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Washington Gospel Tabernacle,"Washington Gospel Tabernacle, west side of Georgia Avenue NW north of Missouri Avenue.",Georgia Avenue,,NW,12/3/1948,,11/02/2015,,,,,,,,,not sure of location,
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",3/13/1948,"John P. Wymer's description: Northwest corner of Madison Street and Georgia Avenue NW. March 13, 1948.","1,948",,,212,047\WY 024116.JPG,07/08/2006,Photographic Emulsion,,WY 0241.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Northwest near the corner of Madison Street and Georgia Avenue NW.,Madison Street,Brightwood,NW,3/13/1948,2935,11/02/2015,,,,,"https://www.google.com/maps/@38.9583489,-77.0281702,3a,75y,322.88h,85.8t/data=!3m6!1e1!3m4!1sn-VtUFt5A4ojlgOE2G55tQ!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=A378651A-3354-4E6B-9632-022500269132;type=102
John P. Wymer photograph collection,,07/07/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Madison Street NW east of Georgia Avenue NW. July 18, 1948.","1,948",,,212,047\WY 024216.JPG,07/07/2006,Photographic Emulsion,,WY 0242.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Madison Street NW east of Georgia Avenue NW.,Madison Street,Brightwood,NW,7/18/1948,2991/2988 (?),11/02/2015,,,,,"https://www.google.com/maps/@38.9583923,-77.0282215,3a,75y,118.3h,75.73t/data=!3m6!1e1!3m4!1s14Z6WGGhKQKJed7LiYq7kA!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=C6F53FA1-DB48-4C88-8062-244443257237;type=102
John P. Wymer photograph collection,,07/07/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Madison Street NW between Georgia Avenue and 9th Street NW. July 18, 1948.","1,948",,,212,059\WY 024316.JPG,07/07/2006,Photographic Emulsion,,WY 0243.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Row houses on Madison Street NW between Georgia Avenue and 9th Street NW.,Madison Street,Brightwood,NW,7/18/1948,2991/2988 (?),12/17/2015,,,,,,,,,not sure of location,
John P. Wymer photograph collection,,07/07/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Northeast corner of Madison Street and 9th Street NW. July 18, 1948.","1,948",,,212,059\WY 024416.JPG,07/07/2006,Photographic Emulsion,,WY 0244.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Row houses near the northeast corner of Madison Street and 9th Street NW.,Madison Street,Brightwood,NW,7/18/1948,2989,12/17/2015,,,,,"https://www.google.com/maps/@38.9584799,-77.0258633,3a,75y,237.06h,84.11t/data=!3m6!1e1!3m4!1s2etvhHXT7wKmjMsAB32KDw!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=0D11CA0F-C39B-4D5E-BFAF-183952199263;type=102
John P. Wymer photograph collection,,07/07/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Ninth Street NW between Missouri Avenue and Madison Street NW. July 18, 1948.","1,948",,,212,059\WY 024516.JPG,07/07/2006,Photographic Emulsion,,WY 0245.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Row houses on Ninth Street NW between Missouri Avenue and Madison Street NW.,Ninth Street,Brightwood,NW,7/18/1948,2988/2989 (?),12/17/2015,,,,,"https://www.google.com/maps/@38.9584143,-77.0259303,3a,75y,47.72h,81.91t/data=!3m6!1e1!3m4!1s2yOllLGusnjy2MBiqmNzlg!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=6C4E6D53-1A81-40F9-8B59-281189659712;type=102
John P. Wymer photograph collection,,07/07/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Ninth Street NW between Missouri Avenue and Madison Street NW. July 18, 1948.","1,948",,,212,059\WY 024616.JPG,07/07/2006,Photographic Emulsion,,WY 0246.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Row houses on Ninth Street NW between Missouri Avenue and Madison Street NW.,Ninth Street,Brightwood,NW,7/18/1948,2988/2989 (?),12/17/2015,,,,,"https://www.google.com/maps/@38.9601273,-77.0259407,3a,75y,144.15h,86.09t/data=!3m7!1e1!3m5!1sJhifWXmfYIxm9lbEEGkrIg!2e0!5s20140801T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=5060BD60-6CC6-4784-B79C-026322834920;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",3/13/1949,"John P. Wymer's description: Missouri Avenue NW between 9th Street and Georgia Avenue. March 13, 1949.","1,949",,,212,059\WY 024716.JPG,07/08/2006,Photographic Emulsion,,WY 0247.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Buildings on Missouri Avenue NW between 9th Street and Georgia Avenue.,Missouri Avenue,,NW,3/13/1949,,12/17/2015,,,,,"https://www.google.com/maps/@38.9602254,-77.0259457,3a,75y,322.01h,76.94t/data=!3m6!1e1!3m4!1sZtEfmcxCD1ACb3ZDH-CzlA!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=9E9F7266-1C7C-4068-B980-857971021164;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/8/1948,"John P. Wymer's description: Commercial Credit Corporation, northeast corner of Georgia and Missouri Avenues NW. December 8, 1948.","1,948",,,212,040\WY 024816.JPG,07/08/2006,Photographic Emulsion,,WY 0248.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,"Commercial Credit Corporation, office",Commercial Credit Corporation on the northeast corner of Georgia and Missouri Avenues.,Georgia Avenue,Brightwood,NW,12/8/1948,2986,09/11/2015,,,,,"https://www.google.com/maps/@38.9611832,-77.02801,3a,75y,94.74h,82.29t/data=!3m6!1e1!3m4!1sMACv5P5AB9xLqw82TqSEvg!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=7BA8C944-79C8-4718-ACC8-497542609100;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/17/1949,"John P. Wymer's description: Southeast corner of Georgia and Missouri Avenues NW. (The small service station, which was being rebuilt when the picture was taken, is the only building in this sample block). September 17, 1949.","1,949",,,212,057\WY 024916.JPG,07/08/2006,Photographic Emulsion,,WY 0249.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,ESSO service station,Southeast corner of Georgia and Missouri Avenues NW.,Georgia Avenue,Brightwood,NW,12/17/1949,2988,09/11/2015,,,,,"https://www.google.com/maps/@38.9610036,-77.0280222,3a,75y,147.92h,77.08t/data=!3m7!1e1!3m5!1sRheLUu-kAQcXwHwq2CfwLA!2e0!5s20110701T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=50024345-64B5-4674-A60D-785261851462;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/5/1948,"John P. Wymer's description: Ida's Department Store, Georgia Avenue at Longfellow Street NW. December 5, 1948.","1,948",,,212,057\WY 025016.JPG,07/08/2006,Photographic Emulsion,,WY 0250.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Ida's Department Store,Ida's Department Store on the corner of Georgia Avenue at Longfellow Street NW.,Georgia Avenue,Brightwood,NW,12/17/1949,2934/2991 (?),09/11/2015,,,,,"https://www.google.com/maps/@38.9572796,-77.0282498,3a,75y,54.01h,80.65t/data=!3m6!1e1!3m4!1sUTfYp7WOykiOgATPJXGMDg!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=725E95FD-9529-4B31-84AA-377234872370;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",3/13/1949,"John P. Wymer's description: Chesapeake and Potomac Telephone Company Building, southeast corner of Georgia Avenue and Gallatin Street NW. March 13, 1949.","1,949",,,212,057\WY 025116.JPG,07/08/2006,Photographic Emulsion,,WY 0251.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Chesapeake and Potomac Telephone Company Building,"Chesapeake and Potomac Telephone Company Building, Georgia Avenue and Gallatin Street NW.",Georgia Avenue,,NW,3/13/1949,,11/02/2015,,,,,"https://www.google.com/maps/@38.9517484,-77.027417,3a,75y,34.07h,79.93t/data=!3m7!1e1!3m5!1s28GLxprXN2gggyvC_CiChQ!2e0!5s20110601T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=7CD1BB83-61CA-49E2-B704-583180051186;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",9/17/1949,"John P. Wymer's description: Colony Theatre, Georgia Avenue and Farragut Street NW. Septemner 17, 1949.","1,949",,,212,057\WY 025216.JPG,07/08/2006,Photographic Emulsion,,WY 0252.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Colony Theatre,Colony Theatre on the corner of Georgia Avenue and Farragut Street NW.,Georgia Avenue,,NW,9/17/1949,,09/11/2015,,,,,"https://www.google.com/maps/@38.9509481,-77.0273098,3a,75y,161.29h,85.12t/data=!3m6!1e1!3m4!1souw4-RHjjaewwE6E154nKw!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=49F40A49-A0D7-4FA9-8B8D-238555463122;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/5/1948,"John P. Wymer's description: Petworth Branch, District of Columbia Public Library, Georgia and Iowa Avenues NW. December 5, 1948.","1,948",,,212,057\WY 025316.JPG,07/08/2006,Photographic Emulsion,,WY 0253.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,District of Columbia Public Library (Petworth Branch),"Petworth Branch, District of Columbia Public Library, Georgia and Iowa Avenues NW.",Georgia Avenue,Petworth,NW,12/5/1948,,11/02/2015,,,,,"https://www.google.com/maps/@38.9424967,-77.0254661,3a,75y,250.68h,80.22t/data=!3m6!1e1!3m4!1sY-EMFwjH11II10rCnMx6rg!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=BBACCA45-6B5C-4820-9CB7-227426203490;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/5/1948,"John P. Wymer's description: Upshur Street NW west of Kansas Avenue. December 5, 1948.","1,948",,,212,057\WY 025416.JPG,07/08/2006,Photographic Emulsion,,WY 0254.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,"Kogod-Dubb Store Fixtures, store",Commercial buildings on Upshur Street NW west of Kansas Avenue.,Upshur Street,Petworth,NW,12/5/1948,2911 (?),11/02/2015,,,,,"https://www.google.com/maps/place/Kansas+Ave+NW+%26+Upshur+St+NW,+Washington,+DC+20011/@38.941867,-77.0258686,3a,75y,257.72h,83.63t/data=!3m7!1e1!3m5!1svR84gsqsitGghH0orP3NBw!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DvR84gsqsitGghH0orP3NBw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D22.885029%26pitch%3D0!7i13312!8i6656!4m2!3m1!1s0x89b7c813c40c3e5d:0xbaee82fa459fad1b!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=31CBA0C7-39D6-4675-8CDF-548380657956;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Roosevelt High School, 13th Street NW between Upshur and Allison Streets. July 18, 1948.","1,948",,,212,057\WY 025516.JPG,07/08/2006,Photographic Emulsion,,WY 0255.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Roosevelt High School,"Roosevelt High School, 13th Street NW between Upshur and Allison Streets.",Thirteenth Street,Petworth,NW,7/18/1948,2915,09/11/2015,,,,,"https://www.google.com/maps/@38.9418699,-77.027777,3a,75y,316.08h,78.56t/data=!3m6!1e1!3m4!1spV7yAjWbvko_rmZ6KmZObw!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=76BB2BB8-9577-4722-87C6-186721135260;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Roosevelt High School, view from Upshur Street. July 18, 1948.","1,948",,,212,057\WY 025616.JPG,07/08/2006,Photographic Emulsion,,WY 0256.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Roosevelt High School,"Roosevelt High School, view from Upshur Street.",Thirteenth Street,Petworth,NW,7/18/1948,2915,09/11/2015,,,,,"https://www.google.com/maps/@38.9418698,-77.0279026,3a,75y,0.5h,77.28t/data=!3m6!1e1!3m4!1s7oxGB49cvi3jys0N_OHXXQ!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=C7A5A9E4-DA68-451E-BF67-583881014449;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",9/17/1949,"John P. Wymer's description: McFarland Junior High School (Roosevelt High School in the left back ground) Iowa Avenue and Varnum Street NW. September 17, 1949.","1,949",,,212,057\WY 025716.JPG,07/08/2006,Photographic Emulsion,,WY 0257.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Roosevelt High School McFarland Junior High School,"McFarland Junior High School, Iowa Avenue and Varnum Street NW.",Iowa Avenue,Petworth,NW,9/17/1949,2915,09/11/2015,,,,,"https://www.google.com/maps/@38.9429399,-77.0262322,3a,75y,293.09h,79.68t/data=!3m6!1e1!3m4!1sCxlFusspBulgoNdnTdSvZg!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=BD621C9E-FE94-4379-A7A1-239981099860;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Burdick Vocational High School , 13th and Allison Streets NW. July 18, 1948.","1,948",,,212,057\WY 025816.JPG,07/08/2006,Photographic Emulsion,,WY 0258.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Burdick Vocational School,"Burdick Vocational High School , 13th and Allison Streets NW.",Thirteenth Street,,NW,7/18/1948,,09/11/2015,,,,,"https://www.google.com/maps/@38.9450612,-77.0295272,3a,75y,246.32h,75.9t/data=!3m6!1e1!3m4!1sznaxiTtKQleq4M5rr9rK3A!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=8ACA3411-2449-47B7-8CC8-778048881230;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/5/1948,"John P. Wymer's description: Primitive Baptist Church, Georgia Avenue and Shepard Streets NW. December 5, 1948.","1,948",,,212,057\WY 025916.JPG,07/08/2006,Photographic Emulsion,,WY 0259.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Primitive Baptist Church,"Primitive Baptist Church, Georgia Avenue and Shepard Streets NW.",Georgia Avenue,Petworth,NW,12/5/1948,,11/02/2015,,,,,,,,,not sure of location,
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",12/5/1948,"John P. Wymer's description: Petworth School (white elementary), 8th and Shepard Streets NW. December 5, 1948.","1,948",,,212,057\WY 026016.JPG,07/08/2006,Photographic Emulsion,,WY 0260.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Petworth School,"Petworth School, northwest corner, 8th and Shepard Streets NW.",Eighth Street,Petworth,NW,12/5/1948,3026,09/11/2015,,,,,"https://www.google.com/maps/place/Washington,+DC+20011/@38.939874,-77.0232472,3a,75y,301.94h,82.98t/data=!3m7!1e1!3m5!1sqg7ghpDdWAg0H0U1o1lNTg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3Dqg7ghpDdWAg0H0U1o1lNTg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D104.39389%26pitch%3D0!7i13312!8i6656!4m2!3m1!1s0x89b7c811eb67005f:0x6e86c3187f04f444!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=008D9A39-972A-413E-B898-100650048433;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",7/18/1948,"John P. Wymer's description: Houses at 905-907 Webster Street NW. July 18, 1948.","1,948",,,212,057\WY 026116.JPG,07/08/2006,Photographic Emulsion,,WY 0261.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Houses at 905-907 Webster Street NW.,Webster Street,Petworth,NW,7/18/1948,3020,09/11/2015,,,,,"https://www.google.com/maps/place/907+Webster+St+NW,+Washington,+DC+20011/@38.944005,-77.0256405,3a,75y,46.53h,93.17t/data=!3m7!1e1!3m5!1sgDJkXI7yIlq7F0hhRCQF0w!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DgDJkXI7yIlq7F0hhRCQF0w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D37.200821%26pitch%3D0!7i13312!8i6656!4m2!3m1!1s0x89b7c8130e2b710d:0x871e39248b1b084d!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=EFF62B91-BEE0-4718-B1C7-566216164449;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",9/16/1948,"John P. Wymer's description: Truesdale School (white elementary), 8th and Ingraham Streets NW. September 16, 1948.","1,948",,,212,057\WY 026216.JPG,07/08/2006,Photographic Emulsion,,WY 0262.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Truesdale School,Truesdale School on the corner of 8th and Ingraham Streets NW.,Eighth Street,,NW,9/16/1948,,09/11/2015,,,,,"https://www.google.com/maps/@38.9541921,-77.0238059,3a,75y,231.33h,76.14t/data=!3m6!1e1!3m4!1s0CQprteRGErTlFXmOIUlvQ!2e0!7i13312!8i6656!6m1!1e1",,,,not sure of location,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=8974D551-9B68-4DD6-A58E-631025105342;type=102
John P. Wymer photograph collection,,07/08/2006,"Brewer, Jack",Good,0,,"Wymer, John P.",9/17/1949,"John P. Wymer's description: Brightwood Park Methodist Church, 8th and Jefferson Streets NW. September 17, 1949","1,949",,,212,057\WY 026316.JPG,07/08/2006,Photographic Emulsion,,WY 0263.16,"Print, Photographic","3.5"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Truesdale School,"Brightwood Park Methodist Church, 8th and Jefferson Streets NW.",Eighth Street,Brightwood Park,NW,9/17/1949,3151,09/11/2015,,,,,"https://www.google.com/maps/@38.9553404,-77.0239895,3a,75y,133.08h,86.78t/data=!3m6!1e1!3m4!1sbaQ6g5qocKJC3lHyaIF__w!2e0!7i3328!8i1664!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=EAFDB784-2C95-45EB-8F7D-463561787350;type=102
